Date,Tref,Stage on Staff (m),Calculated Stage (m),Discharge_m3s,,
6/15/2017 13:20,7.983, 0.480 , 0.524 , 1.780 ,,
6/15/2017 13:30,7.882, 0.481 , 0.525 , 1.789 ,,
6/15/2017 13:40,7.882, 0.482 , 0.526 , 1.802 ,,
6/15/2017 13:50,7.983, 0.481 , 0.525 , 1.795 ,,
6/15/2017 14:00,8.082, 0.478 , 0.521 , 1.749 ,,
6/15/2017 14:10,8.282, 0.479 , 0.522 , 1.760 ,,
6/15/2017 14:20,8.382, 0.479 , 0.522 , 1.763 ,,
6/15/2017 14:30,8.481, 0.476 , 0.520 , 1.732 ,,
6/15/2017 14:40,8.581, 0.478 , 0.522 , 1.754 ,,
6/15/2017 14:50,8.68, 0.478 , 0.522 , 1.751 ,,
6/15/2017 15:00,8.779, 0.478 , 0.522 , 1.753 ,,
6/15/2017 15:10,8.779, 0.476 , 0.520 , 1.731 ,,
6/15/2017 15:20,8.879, 0.478 , 0.522 , 1.757 ,,
6/15/2017 15:30,8.978, 0.477 , 0.521 , 1.740 ,,
6/15/2017 15:40,9.077, 0.479 , 0.523 , 1.766 ,,
6/15/2017 15:50,9.176, 0.479 , 0.522 , 1.762 ,,
6/15/2017 16:00,9.275, 0.477 , 0.521 , 1.744 ,,
6/15/2017 16:10,9.275, 0.479 , 0.523 , 1.771 ,,
6/15/2017 16:20,9.373, 0.475 , 0.519 , 1.721 ,,
6/15/2017 16:30,9.373, 0.474 , 0.518 , 1.708 ,,
6/15/2017 16:40,9.472, 0.474 , 0.518 , 1.703 ,,
6/15/2017 16:50,9.472, 0.475 , 0.519 , 1.721 ,,
6/15/2017 17:00,9.571, 0.473 , 0.517 , 1.693 ,,
6/15/2017 17:10,9.571, 0.475 , 0.518 , 1.712 ,,
6/15/2017 17:20,9.669, 0.476 , 0.519 , 1.724 ,,
6/15/2017 17:30,9.669, 0.477 , 0.521 , 1.743 ,,
6/15/2017 17:40,9.669, 0.476 , 0.520 , 1.726 ,,
6/15/2017 17:50,9.669, 0.475 , 0.518 , 1.712 ,,
6/15/2017 18:00,9.768, 0.474 , 0.518 , 1.708 ,,
6/15/2017 18:10,9.768, 0.477 , 0.521 , 1.738 ,,
6/15/2017 18:20,9.768, 0.476 , 0.519 , 1.725 ,,
6/15/2017 18:30,9.768, 0.475 , 0.519 , 1.714 ,,
6/15/2017 18:40,9.768, 0.479 , 0.523 , 1.765 ,,
6/15/2017 18:50,9.768, 0.479 , 0.522 , 1.760 ,,
6/15/2017 19:00,9.669, 0.481 , 0.525 , 1.791 ,,
6/15/2017 19:10,9.669, 0.485 , 0.529 , 1.842 ,,
6/15/2017 19:20,9.669, 0.495 , 0.539 , 1.978 ,,
6/15/2017 19:30,9.669, 0.506 , 0.549 , 2.128 ,,
6/15/2017 19:40,9.571, 0.514 , 0.557 , 2.246 ,,
6/15/2017 19:50,9.571, 0.519 , 0.562 , 2.322 ,,
6/15/2017 20:00,9.472, 0.521 , 0.565 , 2.360 ,,
6/15/2017 20:10,9.472, 0.523 , 0.566 , 2.386 ,,
6/15/2017 20:20,9.373, 0.524 , 0.567 , 2.402 ,,
6/15/2017 20:30,9.275, 0.526 , 0.570 , 2.442 ,,
6/15/2017 20:40,9.275, 0.525 , 0.569 , 2.421 ,,
6/15/2017 20:50,9.176, 0.524 , 0.568 , 2.403 ,,
6/15/2017 21:00,9.077, 0.523 , 0.567 , 2.392 ,,
6/15/2017 21:10,8.978, 0.520 , 0.563 , 2.337 ,,
6/15/2017 21:20,8.978, 0.515 , 0.559 , 2.273 ,,
6/15/2017 21:30,8.879, 0.512 , 0.556 , 2.228 ,,
6/15/2017 21:40,8.779, 0.510 , 0.553 , 2.187 ,,
6/15/2017 21:50,8.68, 0.507 , 0.550 , 2.141 ,,
6/15/2017 22:00,8.581, 0.503 , 0.547 , 2.094 ,,
6/15/2017 22:10,8.481, 0.503 , 0.546 , 2.086 ,,
6/15/2017 22:20,8.382, 0.498 , 0.541 , 2.013 ,,
6/15/2017 22:30,8.282, 0.497 , 0.541 , 2.007 ,,
6/15/2017 22:40,8.082, 0.498 , 0.541 , 2.013 ,,
6/15/2017 22:50,7.983, 0.497 , 0.541 , 2.005 ,,
6/15/2017 23:00,7.782, 0.496 , 0.540 , 1.994 ,,
6/15/2017 23:10,7.682, 0.497 , 0.541 , 2.003 ,,
6/15/2017 23:20,7.582, 0.497 , 0.540 , 1.998 ,,
6/15/2017 23:30,7.481, 0.496 , 0.540 , 1.997 ,,
6/15/2017 23:40,7.28, 0.496 , 0.540 , 1.991 ,,
6/15/2017 23:50,7.179, 0.494 , 0.538 , 1.969 ,,
6/16/2017 0:00,7.079, 0.495 , 0.539 , 1.981 ,,
6/16/2017 0:10,6.978, 0.496 , 0.540 , 1.994 ,,
6/16/2017 0:20,6.877, 0.496 , 0.540 , 1.989 ,,
6/16/2017 0:30,6.775, 0.496 , 0.539 , 1.988 ,,
6/16/2017 0:40,6.674, 0.494 , 0.538 , 1.966 ,,
6/16/2017 0:50,6.573, 0.493 , 0.536 , 1.945 ,,
6/16/2017 1:00,6.471, 0.496 , 0.540 , 1.989 ,,
6/16/2017 1:10,6.37, 0.492 , 0.536 , 1.942 ,,
6/16/2017 1:20,6.268, 0.491 , 0.535 , 1.925 ,,
6/16/2017 1:30,6.166, 0.491 , 0.535 , 1.922 ,,
6/16/2017 1:40,6.064, 0.486 , 0.529 , 1.850 ,,
6/16/2017 1:50,5.962, 0.484 , 0.528 , 1.836 ,,
6/16/2017 2:00,5.962, 0.485 , 0.529 , 1.846 ,,
6/16/2017 2:10,5.86, 0.484 , 0.528 , 1.836 ,,
6/16/2017 2:20,5.757, 0.483 , 0.527 , 1.818 ,,
6/16/2017 2:30,5.655, 0.482 , 0.525 , 1.801 ,,
6/16/2017 2:40,5.552, 0.482 , 0.525 , 1.801 ,,
6/16/2017 2:50,5.45, 0.479 , 0.522 , 1.762 ,,
6/16/2017 3:00,5.347, 0.479 , 0.522 , 1.759 ,,
6/16/2017 3:10,5.244, 0.479 , 0.523 , 1.771 ,,
6/16/2017 3:20,5.141, 0.479 , 0.523 , 1.766 ,,
6/16/2017 3:30,5.037, 0.482 , 0.526 , 1.808 ,,
6/16/2017 3:40,4.934, 0.483 , 0.527 , 1.818 ,,
6/16/2017 3:50,4.831, 0.488 , 0.531 , 1.877 ,,
6/16/2017 4:00,4.727, 0.498 , 0.541 , 2.016 ,,
6/16/2017 4:10,4.623, 0.505 , 0.549 , 2.116 ,,
6/16/2017 4:20,4.519, 0.506 , 0.550 , 2.137 ,,
6/16/2017 4:30,4.519, 0.509 , 0.552 , 2.171 ,,
6/16/2017 4:40,4.415, 0.503 , 0.547 , 2.094 ,,
6/16/2017 4:50,4.311, 0.499 , 0.543 , 2.037 ,,
6/16/2017 5:00,4.311, 0.494 , 0.538 , 1.964 ,,
6/16/2017 5:10,4.207, 0.490 , 0.534 , 1.915 ,,
6/16/2017 5:20,4.102, 0.488 , 0.531 , 1.878 ,,
6/16/2017 5:30,4.102, 0.484 , 0.528 , 1.827 ,,
6/16/2017 5:40,4.102, 0.480 , 0.524 , 1.781 ,,
6/16/2017 5:50,3.998, 0.478 , 0.522 , 1.752 ,,
6/16/2017 6:00,3.998, 0.475 , 0.519 , 1.720 ,,
6/16/2017 6:10,3.998, 0.472 , 0.515 , 1.675 ,,
6/16/2017 6:20,3.998, 0.471 , 0.515 , 1.665 ,,
6/16/2017 6:30,3.998, 0.469 , 0.513 , 1.640 ,,
6/16/2017 6:40,3.998, 0.468 , 0.511 , 1.625 ,,
6/16/2017 6:50,3.998, 0.465 , 0.508 , 1.591 ,,
6/16/2017 7:00,4.102, 0.465 , 0.508 , 1.590 ,,
6/16/2017 7:10,4.102, 0.464 , 0.508 , 1.580 ,,
6/16/2017 7:20,4.102, 0.463 , 0.507 , 1.575 ,,
6/16/2017 7:30,4.102, 0.463 , 0.507 , 1.574 ,,
6/16/2017 7:40,4.207, 0.462 , 0.506 , 1.559 ,,
6/16/2017 7:50,4.207, 0.460 , 0.504 , 1.537 ,,
6/16/2017 8:00,4.207, 0.459 , 0.502 , 1.521 ,,
6/16/2017 8:10,4.311, 0.459 , 0.503 , 1.522 ,,
6/16/2017 8:20,4.311, 0.457 , 0.501 , 1.500 ,,
6/16/2017 8:30,4.415, 0.457 , 0.500 , 1.495 ,,
6/16/2017 8:40,4.415, 0.455 , 0.498 , 1.476 ,,
6/16/2017 8:50,4.519, 0.456 , 0.499 , 1.487 ,,
6/16/2017 9:00,4.519, 0.456 , 0.499 , 1.486 ,,
6/16/2017 9:10,4.519, 0.455 , 0.499 , 1.482 ,,
6/16/2017 9:20,4.623, 0.456 , 0.500 , 1.494 ,,
6/16/2017 9:30,4.623, 0.454 , 0.498 , 1.470 ,,
6/16/2017 9:40,4.727, 0.456 , 0.500 , 1.489 ,,
6/16/2017 9:50,4.727, 0.454 , 0.498 , 1.466 ,,
6/16/2017 10:00,4.831, 0.452 , 0.495 , 1.443 ,,
6/16/2017 10:10,4.831, 0.452 , 0.496 , 1.449 ,,
6/16/2017 10:20,4.934, 0.455 , 0.499 , 1.477 ,,
6/16/2017 10:30,5.037, 0.454 , 0.498 , 1.473 ,,
6/16/2017 10:40,5.244, 0.454 , 0.498 , 1.466 ,,
6/16/2017 10:50,5.347, 0.452 , 0.496 , 1.450 ,,
6/16/2017 11:00,5.45, 0.452 , 0.496 , 1.448 ,,
6/16/2017 11:10,5.655, 0.451 , 0.495 , 1.434 ,,
6/16/2017 11:20,5.757, 0.451 , 0.494 , 1.430 ,,
6/16/2017 11:30,5.86, 0.450 , 0.493 , 1.421 ,,
6/16/2017 11:40,5.962, 0.450 , 0.494 , 1.427 ,,
6/16/2017 11:50,6.166, 0.452 , 0.495 , 1.441 ,,
6/16/2017 12:00,6.268, 0.452 , 0.495 , 1.440 ,,
6/16/2017 12:10,6.37, 0.449 , 0.493 , 1.415 ,,
6/16/2017 12:20,6.471, 0.448 , 0.492 , 1.403 ,,
6/16/2017 12:30,6.573, 0.450 , 0.494 , 1.427 ,,
6/16/2017 12:40,6.775, 0.450 , 0.493 , 1.419 ,,
6/16/2017 12:50,6.877, 0.450 , 0.493 , 1.419 ,,
6/16/2017 13:00,6.978, 0.448 , 0.492 , 1.401 ,,
6/16/2017 13:10,7.079, 0.449 , 0.493 , 1.412 ,,
6/16/2017 13:20,7.28, 0.450 , 0.494 , 1.428 ,,
6/16/2017 13:30,7.381, 0.449 , 0.492 , 1.410 ,,
6/16/2017 13:40,7.481, 0.449 , 0.493 , 1.414 ,,
6/16/2017 13:50,7.582, 0.450 , 0.493 , 1.419 ,,
6/16/2017 14:00,7.682, 0.450 , 0.494 , 1.428 ,,
6/16/2017 14:10,7.782, 0.449 , 0.493 , 1.411 ,,
6/16/2017 14:20,7.782, 0.449 , 0.493 , 1.416 ,,
6/16/2017 14:30,7.882, 0.447 , 0.491 , 1.391 ,,
6/16/2017 14:40,7.983, 0.447 , 0.491 , 1.391 ,,
6/16/2017 14:50,7.983, 0.449 , 0.493 , 1.417 ,,
6/16/2017 15:00,8.082, 0.448 , 0.492 , 1.404 ,,
6/16/2017 15:10,8.082, 0.449 , 0.493 , 1.413 ,,
6/16/2017 15:20,8.182, 0.450 , 0.494 , 1.425 ,,
6/16/2017 15:30,8.182, 0.450 , 0.494 , 1.426 ,,
6/16/2017 15:40,8.182, 0.450 , 0.494 , 1.424 ,,
6/16/2017 15:50,8.182, 0.447 , 0.491 , 1.390 ,,
6/16/2017 16:00,8.282, 0.446 , 0.490 , 1.385 ,,
6/16/2017 16:10,8.382, 0.444 , 0.487 , 1.355 ,,
6/16/2017 16:20,8.382, 0.446 , 0.489 , 1.377 ,,
6/16/2017 16:30,8.581, 0.448 , 0.492 , 1.406 ,,
6/16/2017 16:40,8.581, 0.446 , 0.490 , 1.379 ,,
6/16/2017 16:50,8.68, 0.443 , 0.486 , 1.346 ,,
6/16/2017 17:00,8.68, 0.448 , 0.492 , 1.406 ,,
6/16/2017 17:10,8.779, 0.452 , 0.496 , 1.444 ,,
6/16/2017 17:20,8.779, 0.453 , 0.496 , 1.453 ,,
6/16/2017 17:30,8.779, 0.450 , 0.494 , 1.426 ,,
6/16/2017 17:40,8.879, 0.450 , 0.493 , 1.418 ,,
6/16/2017 17:50,8.978, 0.447 , 0.491 , 1.395 ,,
6/16/2017 18:00,9.077, 0.444 , 0.488 , 1.358 ,,
6/16/2017 18:10,9.077, 0.446 , 0.490 , 1.381 ,,
6/16/2017 18:20,9.176, 0.445 , 0.489 , 1.369 ,,
6/16/2017 18:30,9.176, 0.443 , 0.487 , 1.352 ,,
6/16/2017 18:40,9.275, 0.444 , 0.488 , 1.357 ,,
6/16/2017 18:50,9.275, 0.446 , 0.490 , 1.382 ,,
