Date Time,Tref_C,Stage on Staff (m),Calculated Stage (m),Discharge_m3s,,
6/27/2018 13:00,8.481, 0.416 , 0.371 , 4.456 ,,
6/27/2018 13:10,8.082, 0.415 , 0.371 , 4.451 ,,
6/27/2018 13:20,8.182, 0.413 , 0.369 , 4.390 ,,
6/27/2018 13:30,8.282, 0.413 , 0.368 , 4.379 ,,
6/27/2018 13:40,8.382, 0.410 , 0.366 , 4.308 ,,
6/27/2018 13:50,8.481, 0.413 , 0.369 , 4.393 ,,
6/27/2018 14:00,8.481, 0.409 , 0.365 , 4.291 ,,
6/27/2018 14:10,8.581, 0.412 , 0.368 , 4.365 ,,
6/27/2018 14:20,8.68, 0.410 , 0.366 , 4.316 ,,
6/27/2018 14:30,8.779, 0.411 , 0.366 , 4.327 ,,
6/27/2018 14:40,8.879, 0.411 , 0.367 , 4.341 ,,
6/27/2018 14:50,8.978, 0.409 , 0.364 , 4.270 ,,
6/27/2018 15:00,8.978, 0.412 , 0.367 , 4.357 ,,
6/27/2018 15:10,8.978, 0.412 , 0.367 , 4.349 ,,
6/27/2018 15:20,9.077, 0.412 , 0.368 , 4.371 ,,
6/27/2018 15:30,9.176, 0.411 , 0.366 , 4.330 ,,
6/27/2018 15:40,9.275, 0.411 , 0.367 , 4.336 ,,
6/27/2018 15:50,9.373, 0.414 , 0.369 , 4.410 ,,
6/27/2018 16:00,9.472, 0.413 , 0.368 , 4.380 ,,
6/27/2018 16:10,9.571, 0.412 , 0.367 , 4.355 ,,
6/27/2018 16:20,9.669, 0.411 , 0.366 , 4.330 ,,
6/27/2018 16:30,9.669, 0.412 , 0.368 , 4.361 ,,
6/27/2018 16:40,9.768, 0.411 , 0.367 , 4.339 ,,
6/27/2018 16:50,9.768, 0.412 , 0.367 , 4.355 ,,
6/27/2018 17:00,9.768, 0.412 , 0.368 , 4.372 ,,
6/27/2018 17:10,9.768, 0.414 , 0.369 , 4.407 ,,
6/27/2018 17:20,9.768, 0.415 , 0.371 , 4.455 ,,
6/27/2018 17:30,9.669, 0.413 , 0.369 , 4.391 ,,
6/27/2018 17:40,9.669, 0.411 , 0.367 , 4.344 ,,
6/27/2018 17:50,9.669, 0.413 , 0.368 , 4.377 ,,
6/27/2018 18:00,9.571, 0.411 , 0.366 , 4.328 ,,
6/27/2018 18:10,9.571, 0.411 , 0.367 , 4.336 ,,
6/27/2018 18:20,9.571, 0.411 , 0.366 , 4.322 ,,
6/27/2018 18:30,9.571, 0.412 , 0.368 , 4.363 ,,
6/27/2018 18:40,9.571, 0.410 , 0.365 , 4.298 ,,
6/27/2018 18:50,9.571, 0.409 , 0.365 , 4.287 ,,
6/27/2018 19:00,9.571, 0.409 , 0.365 , 4.292 ,,
6/27/2018 19:10,9.571, 0.411 , 0.367 , 4.333 ,,
6/27/2018 19:20,9.669, 0.412 , 0.368 , 4.363 ,,
6/27/2018 19:30,9.669, 0.411 , 0.367 , 4.347 ,,
6/27/2018 19:40,9.768, 0.412 , 0.368 , 4.366 ,,
6/27/2018 19:50,9.768, 0.416 , 0.371 , 4.463 ,,
6/27/2018 20:00,9.866, 0.415 , 0.371 , 4.446 ,,
6/27/2018 20:10,9.866, 0.412 , 0.368 , 4.369 ,,
6/27/2018 20:20,9.768, 0.416 , 0.372 , 4.469 ,,
6/27/2018 20:30,9.768, 0.420 , 0.375 , 4.567 ,,
6/27/2018 20:40,9.768, 0.419 , 0.375 , 4.558 ,,
6/27/2018 20:50,9.768, 0.420 , 0.376 , 4.592 ,,
6/27/2018 21:00,9.768, 0.422 , 0.378 , 4.632 ,,
6/27/2018 21:10,9.669, 0.423 , 0.378 , 4.658 ,,
6/27/2018 21:20,9.669, 0.422 , 0.378 , 4.643 ,,
6/27/2018 21:30,9.571, 0.424 , 0.379 , 4.683 ,,
6/27/2018 21:40,9.571, 0.423 , 0.378 , 4.658 ,,
6/27/2018 21:50,9.472, 0.424 , 0.380 , 4.695 ,,
6/27/2018 22:00,9.472, 0.425 , 0.381 , 4.723 ,,
6/27/2018 22:10,9.373, 0.428 , 0.384 , 4.813 ,,
6/27/2018 22:20,9.275, 0.427 , 0.383 , 4.790 ,,
6/27/2018 22:30,9.275, 0.426 , 0.381 , 4.741 ,,
6/27/2018 22:40,9.176, 0.427 , 0.382 , 4.764 ,,
6/27/2018 22:50,9.077, 0.429 , 0.385 , 4.842 ,,
6/27/2018 23:00,9.077, 0.431 , 0.386 , 4.883 ,,
6/27/2018 23:10,8.978, 0.429 , 0.385 , 4.836 ,,
6/27/2018 23:20,8.879, 0.430 , 0.386 , 4.868 ,,
6/27/2018 23:30,8.879, 0.427 , 0.383 , 4.790 ,,
6/27/2018 23:40,8.779, 0.430 , 0.385 , 4.851 ,,
6/27/2018 23:50,8.68, 0.430 , 0.386 , 4.859 ,,
6/28/2018 0:00,8.68, 0.430 , 0.386 , 4.865 ,,
6/28/2018 0:10,8.581, 0.429 , 0.385 , 4.836 ,,
6/28/2018 0:20,8.481, 0.430 , 0.386 , 4.865 ,,
6/28/2018 0:30,8.481, 0.430 , 0.386 , 4.862 ,,
6/28/2018 0:40,8.382, 0.432 , 0.387 , 4.915 ,,
6/28/2018 0:50,8.382, 0.431 , 0.387 , 4.903 ,,
6/28/2018 1:00,8.282, 0.435 , 0.390 , 5.001 ,,
6/28/2018 1:10,8.182, 0.433 , 0.389 , 4.956 ,,
6/28/2018 1:20,8.182, 0.433 , 0.388 , 4.945 ,,
6/28/2018 1:30,8.082, 0.431 , 0.386 , 4.880 ,,
6/28/2018 1:40,7.983, 0.430 , 0.386 , 4.877 ,,
6/28/2018 1:50,7.983, 0.432 , 0.387 , 4.915 ,,
6/28/2018 2:00,7.882, 0.431 , 0.386 , 4.882 ,,
6/28/2018 2:10,7.782, 0.430 , 0.386 , 4.859 ,,
6/28/2018 2:20,7.782, 0.428 , 0.383 , 4.800 ,,
6/28/2018 2:30,7.682, 0.427 , 0.382 , 4.771 ,,
6/28/2018 2:40,7.582, 0.429 , 0.385 , 4.835 ,,
6/28/2018 2:50,7.481, 0.426 , 0.382 , 4.757 ,,
6/28/2018 3:00,7.481, 0.429 , 0.385 , 4.847 ,,
6/28/2018 3:10,7.381, 0.430 , 0.386 , 4.867 ,,
6/28/2018 3:20,7.28, 0.430 , 0.385 , 4.850 ,,
6/28/2018 3:30,7.179, 0.425 , 0.381 , 4.728 ,,
6/28/2018 3:40,7.179, 0.427 , 0.382 , 4.771 ,,
6/28/2018 3:50,7.079, 0.428 , 0.383 , 4.797 ,,
6/28/2018 4:00,7.079, 0.428 , 0.384 , 4.812 ,,
6/28/2018 4:10,6.978, 0.427 , 0.382 , 4.771 ,,
6/28/2018 4:20,6.877, 0.426 , 0.382 , 4.759 ,,
6/28/2018 4:30,6.877, 0.426 , 0.382 , 4.759 ,,
6/28/2018 4:40,6.775, 0.424 , 0.380 , 4.704 ,,
6/28/2018 4:50,6.775, 0.423 , 0.379 , 4.676 ,,
6/28/2018 5:00,6.674, 0.423 , 0.379 , 4.664 ,,
6/28/2018 5:10,6.674, 0.424 , 0.379 , 4.684 ,,
6/28/2018 5:20,6.674, 0.423 , 0.379 , 4.676 ,,
6/28/2018 5:30,6.573, 0.421 , 0.377 , 4.619 ,,
6/28/2018 5:40,6.573, 0.422 , 0.378 , 4.636 ,,
