Date,Tref,Stage_m,Discharge_m3s,Q_L_s,
6/15/2019 19:10,7.882, 0.778 , 15.011 ," 15,010.97 ",
6/15/2019 19:20,7.381, 0.778 , 15.063 ," 15,062.80 ",
6/15/2019 19:30,7.381, 0.774 , 14.690 ," 14,689.91 ",
6/15/2019 19:40,7.481, 0.772 , 14.533 ," 14,532.66 ",
6/15/2019 19:50,7.582, 0.774 , 14.717 ," 14,717.01 ",
6/15/2019 20:00,7.582, 0.769 , 14.299 ," 14,299.10 ",
6/15/2019 20:10,7.682, 0.772 , 14.516 ," 14,515.96 ",
6/15/2019 20:20,7.782, 0.770 , 14.343 ," 14,342.92 ",
6/15/2019 20:30,7.782, 0.769 , 14.283 ," 14,282.61 ",
6/15/2019 20:40,7.882, 0.765 , 13.908 ," 13,908.41 ",
6/15/2019 20:50,7.882, 0.761 , 13.649 ," 13,649.14 ",
6/15/2019 21:00,7.983, 0.764 , 13.867 ," 13,866.71 ",
6/15/2019 21:10,7.983, 0.766 , 14.036 ," 14,035.62 ",
6/15/2019 21:20,8.082, 0.766 , 14.036 ," 14,036.00 ",
6/15/2019 21:30,8.082, 0.760 , 13.542 ," 13,542.28 ",
6/15/2019 21:40,8.082, 0.760 , 13.542 ," 13,542.28 ",
6/15/2019 21:50,8.182, 0.758 , 13.370 ," 13,370.23 ",
6/15/2019 22:00,8.182, 0.756 , 13.248 ," 13,248.11 ",
6/15/2019 22:10,8.182, 0.757 , 13.289 ," 13,288.72 ",
6/15/2019 22:20,8.182, 0.754 , 13.079 ," 13,078.62 ",
6/15/2019 22:30,8.182, 0.752 , 12.903 ," 12,902.87 ",
6/15/2019 22:40,8.182, 0.753 , 12.967 ," 12,966.57 ",
6/15/2019 22:50,8.182, 0.750 , 12.760 ," 12,760.45 ",
6/15/2019 23:00,8.182, 0.749 , 12.690 ," 12,689.70 ",
6/15/2019 23:10,8.182, 0.748 , 12.565 ," 12,564.69 ",
6/15/2019 23:20,8.182, 0.746 , 12.456 ," 12,456.08 ",
6/15/2019 23:30,8.182, 0.745 , 12.371 ," 12,371.27 ",
6/15/2019 23:40,8.182, 0.745 , 12.341 ," 12,340.54 ",
6/15/2019 23:50,8.182, 0.744 , 12.256 ," 12,256.34 ",
6/16/2019 0:00,8.082, 0.743 , 12.248 ," 12,248.36 ",
6/16/2019 0:10,8.082, 0.743 , 12.210 ," 12,210.25 ",
6/16/2019 0:20,8.082, 0.741 , 12.081 ," 12,081.39 ",
6/16/2019 0:30,7.983, 0.738 , 11.849 ," 11,848.80 ",
6/16/2019 0:40,7.983, 0.736 , 11.701 ," 11,700.82 ",
6/16/2019 0:50,7.882, 0.738 , 11.871 ," 11,870.80 ",
6/16/2019 1:00,7.882, 0.738 , 11.811 ," 11,811.35 ",
6/16/2019 1:10,7.782, 0.736 , 11.671 ," 11,670.77 ",
6/16/2019 1:20,7.782, 0.736 , 11.722 ," 11,722.30 ",
6/16/2019 1:30,7.682, 0.734 , 11.561 ," 11,560.66 ",
6/16/2019 1:40,7.582, 0.735 , 11.612 ," 11,611.51 ",
6/16/2019 1:50,7.582, 0.730 , 11.271 ," 11,271.48 ",
6/16/2019 2:00,7.481, 0.731 , 11.321 ," 11,321.34 ",
6/16/2019 2:10,7.381, 0.726 , 11.009 ," 11,008.76 ",
6/16/2019 2:20,7.381, 0.726 , 10.960 ," 10,959.70 ",
6/16/2019 2:30,7.28, 0.726 , 10.987 ," 10,987.46 ",
6/16/2019 2:40,7.179, 0.725 , 10.952 ," 10,952.20 ",
6/16/2019 2:50,7.079, 0.724 , 10.841 ," 10,840.53 ",
6/16/2019 3:00,7.079, 0.723 , 10.792 ," 10,792.06 ",
6/16/2019 3:10,6.978, 0.722 , 10.730 ," 10,729.75 ",
6/16/2019 3:20,6.877, 0.718 , 10.423 ," 10,423.34 ",
6/16/2019 3:30,6.775, 0.721 , 10.654 ," 10,653.83 ",
6/16/2019 3:40,6.674, 0.718 , 10.436 ," 10,436.39 ",
6/16/2019 3:50,6.674, 0.721 , 10.660 ," 10,660.47 ",
6/16/2019 4:00,6.573, 0.716 , 10.316 ," 10,315.53 ",
6/16/2019 4:10,6.471, 0.717 , 10.416 ," 10,415.82 ",
6/16/2019 4:20,6.37, 0.715 , 10.255 ," 10,255.24 ",
6/16/2019 4:30,6.268, 0.717 , 10.382 ," 10,381.89 ",
6/16/2019 4:40,6.166, 0.715 , 10.275 ," 10,274.85 ",
6/16/2019 4:50,6.166, 0.716 , 10.301 ," 10,301.49 ",
6/16/2019 5:00,6.064, 0.712 , 10.077 ," 10,076.62 ",
6/16/2019 5:10,5.962, 0.712 , 10.044 ," 10,043.75 ",
6/16/2019 5:20,5.86, 0.711 , 9.972 ," 9,971.92 ",
6/16/2019 5:30,5.86, 0.709 , 9.881 ," 9,881.26 ",
6/16/2019 5:40,5.757, 0.709 , 9.842 ," 9,842.47 ",
6/16/2019 5:50,5.655, 0.707 , 9.765 ," 9,765.38 ",
6/16/2019 6:00,5.552, 0.707 , 9.759 ," 9,758.87 ",
6/16/2019 6:10,5.552, 0.706 , 9.708 ," 9,707.85 ",
6/16/2019 6:20,5.45, 0.707 , 9.765 ," 9,765.16 ",
6/16/2019 6:30,5.347, 0.704 , 9.581 ," 9,581.01 ",
6/16/2019 6:40,5.244, 0.702 , 9.462 ," 9,461.81 ",
6/16/2019 6:50,5.244, 0.701 , 9.356 ," 9,356.22 ",
6/16/2019 7:00,5.141, 0.702 , 9.412 ," 9,411.92 ",
6/16/2019 7:10,5.037, 0.700 , 9.301 ," 9,300.53 ",
6/16/2019 7:20,5.037, 0.701 , 9.368 ," 9,368.43 ",
6/16/2019 7:30,4.934, 0.697 , 9.117 ," 9,117.23 ",
6/16/2019 7:40,4.934, 0.696 , 9.105 ," 9,105.11 ",
6/16/2019 7:50,4.831, 0.699 , 9.257 ," 9,257.39 ",
6/16/2019 8:00,4.831, 0.694 , 8.937 ," 8,936.76 ",
6/16/2019 8:10,4.727, 0.691 , 8.806 ," 8,806.19 ",
6/16/2019 8:20,4.727, 0.695 , 9.033 ," 9,032.58 ",
6/16/2019 8:30,4.623, 0.694 , 8.961 ," 8,960.56 ",
6/16/2019 8:40,4.623, 0.691 , 8.765 ," 8,764.93 ",
6/16/2019 8:50,4.623, 0.693 , 8.877 ," 8,877.15 ",
6/16/2019 9:00,4.519, 0.693 , 8.877 ," 8,877.12 ",
6/16/2019 9:10,4.519, 0.690 , 8.718 ," 8,717.98 ",
6/16/2019 9:20,4.519, 0.691 , 8.794 ," 8,794.32 ",
6/16/2019 9:30,4.519, 0.688 , 8.607 ," 8,607.33 ",
6/16/2019 9:40,4.519, 0.687 , 8.573 ," 8,572.62 ",
6/16/2019 9:50,4.519, 0.684 , 8.401 ," 8,400.70 ",
6/16/2019 10:00,4.519, 0.685 , 8.463 ," 8,463.42 ",
6/16/2019 10:10,4.519, 0.685 , 8.463 ," 8,463.42 ",
6/16/2019 10:20,4.519, 0.686 , 8.492 ," 8,492.05 ",
6/16/2019 10:30,4.519, 0.683 , 8.344 ," 8,343.99 ",
6/16/2019 10:40,4.519, 0.682 , 8.259 ," 8,259.49 ",
6/16/2019 10:50,4.519, 0.679 , 8.120 ," 8,120.14 ",
6/16/2019 11:00,4.623, 0.680 , 8.153 ," 8,153.45 ",
6/16/2019 11:10,4.623, 0.681 , 8.232 ," 8,231.51 ",
6/16/2019 11:20,4.623, 0.678 , 8.081 ," 8,081.49 ",
6/16/2019 11:30,4.727, 0.680 , 8.159 ," 8,159.05 ",
6/16/2019 11:40,4.727, 0.676 , 7.934 ," 7,933.65 ",
6/16/2019 11:50,4.727, 0.677 , 7.988 ," 7,988.17 ",
6/16/2019 12:00,4.831, 0.679 , 8.087 ," 8,087.09 ",
6/16/2019 12:10,4.831, 0.677 , 8.005 ," 8,004.63 ",
6/16/2019 12:20,4.934, 0.676 , 7.934 ," 7,933.75 ",
6/16/2019 12:30,5.037, 0.674 , 7.853 ," 7,852.57 ",
6/16/2019 12:40,5.037, 0.677 , 8.016 ," 8,015.70 ",
6/16/2019 12:50,5.141, 0.674 , 7.847 ," 7,847.24 ",
6/16/2019 13:00,5.244, 0.675 , 7.885 ," 7,885.12 ",
6/16/2019 13:10,5.244, 0.671 , 7.666 ," 7,665.66 ",
6/16/2019 13:20,5.347, 0.674 , 7.826 ," 7,825.84 ",
6/16/2019 13:30,5.45, 0.673 , 7.778 ," 7,777.62 ",
6/16/2019 13:40,5.552, 0.671 , 7.692 ," 7,692.40 ",
6/16/2019 13:50,5.655, 0.671 , 7.677 ," 7,676.58 ",
6/16/2019 14:00,5.757, 0.668 , 7.540 ," 7,539.84 ",
6/16/2019 14:10,5.86, 0.672 , 7.725 ," 7,724.59 ",
6/16/2019 14:20,5.962, 0.671 , 7.666 ," 7,666.29 ",
6/16/2019 14:30,6.064, 0.667 , 7.478 ," 7,477.64 ",
6/16/2019 14:40,6.166, 0.666 , 7.431 ," 7,431.14 ",
6/16/2019 14:50,6.268, 0.668 , 7.525 ," 7,524.72 ",
6/16/2019 15:00,6.37, 0.666 , 7.431 ," 7,431.38 ",
6/16/2019 15:10,6.471, 0.667 , 7.494 ," 7,493.72 ",
6/16/2019 15:20,6.573, 0.664 , 7.334 ," 7,333.96 ",
6/16/2019 15:30,6.674, 0.662 , 7.207 ," 7,207.10 ",
6/16/2019 15:40,6.775, 0.664 , 7.329 ," 7,329.12 ",
6/16/2019 15:50,6.978, 0.664 , 7.345 ," 7,344.77 ",
6/16/2019 16:00,7.079, 0.662 , 7.223 ," 7,222.83 ",
6/16/2019 16:10,7.179, 0.662 , 7.213 ," 7,212.89 ",
6/16/2019 16:20,7.28, 0.665 , 7.381 ," 7,381.17 ",
6/16/2019 16:30,7.481, 0.662 , 7.239 ," 7,238.67 ",
6/16/2019 16:40,7.582, 0.660 , 7.113 ," 7,113.13 ",
6/16/2019 16:50,7.682, 0.663 , 7.259 ," 7,259.30 ",
6/16/2019 17:00,7.782, 0.661 , 7.164 ," 7,163.57 ",
6/16/2019 17:10,7.882, 0.662 , 7.250 ," 7,249.54 ",
6/16/2019 17:20,7.983, 0.658 , 7.010 ," 7,009.58 ",
6/16/2019 17:30,8.082, 0.657 , 6.995 ," 6,994.97 ",
6/16/2019 17:40,8.282, 0.659 , 7.095 ," 7,094.52 ",
6/16/2019 17:50,8.382, 0.656 , 6.942 ," 6,941.51 ",
6/16/2019 18:00,8.481, 0.658 , 7.011 ," 7,010.59 ",
6/16/2019 18:10,8.581, 0.653 , 6.796 ," 6,796.12 ",
6/16/2019 18:20,8.68, 0.654 , 6.845 ," 6,844.67 ",
6/16/2019 18:30,8.779, 0.655 , 6.903 ," 6,903.25 ",
6/16/2019 18:40,8.879, 0.655 , 6.899 ," 6,898.60 ",
6/16/2019 18:50,8.978, 0.653 , 6.783 ," 6,782.55 ",
6/16/2019 19:00,9.077, 0.652 , 6.759 ," 6,758.74 ",
6/16/2019 19:10,9.176, 0.652 , 6.769 ," 6,768.58 ",
6/16/2019 19:20,9.275, 0.650 , 6.659 ," 6,658.99 ",
